,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_154.mid",13.0, 9.0, 3.0, 2.0, 24.0, 0.0, 0.04, 0.96, 2.0, 3.0, 83.0, 4.46, 90.0, 6.0, 0.24, 0.24, 0.4167, 0.8333, 15.0, 3.0, 6.896, 2.859, 3.463, -1.349, -0.5667, -0.6411, 5.936, 5.593, 5.562, 0.0, 79.0, 7.0, 75.0, 3.0, 2.0, 4.735, 3.0, 4.0, 0.3061, 0.6667, 0.3878, 0.1633, 0.04082, 0.3469, 0.08163, 0.02041, 0.2041, 0.0, 0.0, 0.02041, 0.04082, 0.1224, 3.0, 0.04, 0.6098, 2.278, 12.06, 7.714, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.1834, 0.1834, 0.262, 10.0, 5.0, 3.0, 0.22, 0.72, 0.58, 0.2, 0.2, 0.28, 0.25, 12.0, 2.705, 0.5, 0.5, 0.44, 1.0, 4.477, 1.478, 7.115, 2.5, 2.0, 2.259, 1.941, 0.08333, 5.291, 0.1675, 0.1675, 0.1675, 3.925, 3.925, 1.422, 1.422, 1.433, 1.433, 0.9477, 0.9477, 0.0, 0.0, 18.0, 8.0, 59.0, 61.0, 1.034, 0.07547, 0.07547, 1.0, 0.1509, 0.01518, 2.125, 0.25, 157.0, 156.5, 3.584E-11, 104.5, 0.4784, 0.537, 2.119, 2.119, 3.421, 3.421, 0.09904, 12.22, 1.74, 3.508, 0.02, 0.0, 20.0, 11.0, 40.0, 45.0, 1.125, 0.06667, 0.06667, 1.0, 0.1333, 0.01453, 1.727, 0.4545
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_155.mid",13.0, 9.0, 3.0, 1.0, 24.0, 0.0, 0.08, 0.92, 2.0, 3.0, 82.0, 4.3, 90.0, 3.0, 0.18, 0.2, 0.5556, 0.9, 15.0, 3.0, 7.657, 2.801, 3.501, -1.152, -0.7497, -0.7713, 5.24, 5.48, 5.306, 0.0, 79.0, 7.0, 73.0, 1.0, 2.0, 4.857, 3.0, 4.0, 0.2857, 0.7857, 0.3673, 0.1224, 0.08163, 0.3673, 0.06122, 0.02041, 0.2245, 0.0, 0.0, 0.06122, 0.06122, 0.08163, 2.0, 0.02, 0.6279, 2.389, 12.28, 7.536, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.18, 0.18, 0.2927, 10.0, 5.0, 3.0, 0.36, 0.7, 0.4, 0.24, 0.24, 0.3, 0.25, 12.0, 2.99, 0.25, 0.36, 0.9444, 1.0, 4.689, 1.593, 6.427, 2.5, 2.0, 2.164, 1.982, 0.075, 5.399, 0.1238, 0.1238, 0.1238, 3.925, 3.925, 1.487, 1.487, 1.2, 1.2, 1.172, 1.172, 0.0, 0.0, 17.0, 17.0, 50.0, 61.0, 1.22, 0.08065, 0.06452, 1.25, 0.1452, 0.01531, 1.118, 0.1765, 157.0, 156.5, 3.593E-11, 106.5, 0.4696, 0.6134, 2.167, 2.167, 3.52, 3.52, 0.09904, 12.22, 1.866, 3.557, 0.02, 0.0, 17.0, 16.0, 65.0, 46.0, 1.413, 0.07937, 0.06349, 1.25, 0.1429, 0.01549, 0.8125, 0.125
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_156.mid",10.0, 8.0, 5.0, 1.0, 21.0, 0.62, 0.38, 0.0, 4.0, 2.0, 54.0, 4.36, 46.0, 3.0, 0.18, 0.26, 1.0, 0.6923, 17.0, 7.0, 7.87, 3.212, 3.364, 1.052, 0.3362, -1.356, 4.726, 5.778, 6.711, 0.0, 46.0, 10.0, 65.0, 5.0, 3.0, 4.224, 5.0, 2.0, 0.2857, 0.7143, 0.5714, 0.1224, 0.2041, 0.3673, 0.2857, 0.04082, 0.0, 0.0, 0.0, 0.02041, 0.0, 0.1633, 0.0, 0.0, 0.5116, 2.389, 10.83, 3.846, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.408, 1.408, 0.144, 3.0, 3.0, 2.0, 0.0, 0.66, 1.0, 0.0, 0.0, 0.34, 0.5, 1.5, 0.6, 0.5, 0.66, 0.4848, 1.0, 0.175, 1.715, 19.62, 2.632, 2.0, 1.065, 0.005, 0.0, 0.03536, 0.162, 0.162, 0.162, 0.75, 0.75, 0.5227, 0.5227, 0.5, 0.5, 0.07538, 0.07538, 0.0, 4.0, 10.0, 8.0, 48.0, 80.0, 1.667, 0.1455, 0.1455, 1.0, 0.2909, 0.02588, 0.0, 0.125, 160.0, 160.0, 0.0, 13.31, 3.756, 0.2965, 0.2659, 0.2659, 0.08341, 0.08341, 0.1875, 0.4688, 0.2231, 0.05647, 0.0, 3.0, 12.0, 9.0, 40.0, 64.0, 1.6, 0.1778, 0.1067, 1.667, 0.2844, 0.02411, 0.0, 0.2222
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_157.mid",15.0, 8.0, 4.0, 1.0, 29.0, 0.28, 0.64, 0.08, 3.0, 2.0, 60.0, 4.16, 63.0, 3.0, 0.18, 0.26, 0.7778, 0.6923, 2.0, 2.0, 8.241, 3.046, 2.985, -0.8008, 1.142, -1.488, 5.772, 6.019, 7.451, 0.0, 51.0, 3.0, 66.0, 6.0, 15.0, 7.327, 5.0, 13.0, 0.2449, 0.9167, 0.4694, 0.102, 0.1633, 0.3878, 0.1224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3878, 0.0, 0.0, 0.5455, 2.444, 18.94, 3.765, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.274, 1.274, 0.08846, 4.0, 4.0, 2.0, 0.08, 0.62, 0.92, 0.0, 0.0, 0.38, 0.25, 1.5, 0.62, 0.5, 0.54, 0.5926, 1.0, 0.2684, 1.341, 11.57, 2.174, 2.0, 0.9367, 0.015, 0.0, 0.05997, 0.2293, 0.2293, 0.2293, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 7.0, 10.0, 8.0, 80.0, 48.0, 1.667, 0.1465, 0.1401, 1.045, 0.2866, 0.02641, 0.0, 0.375, 160.0, 160.0, 0.0, 14.72, 3.397, 0.1216, 0.2889, 0.2889, 0.09226, 0.09226, 0.09375, 0.4688, 0.2269, 0.08275, 0.08, 4.0, 13.0, 8.0, 40.0, 107.0, 2.675, 0.1857, 0.1095, 1.696, 0.2952, 0.02455, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_158.mid",9.0, 7.0, 6.0, 1.0, 15.0, 0.0, 0.34, 0.66, 5.0, 3.0, 74.0, 6.26, 71.0, 11.0, 0.22, 0.24, 0.8182, 0.75, 4.0, 8.0, 3.762, 3.439, 2.11, -0.654, 0.2268, -0.5971, 5.823, 5.162, 5.219, 0.0, 71.0, 11.0, 73.0, 1.0, 4.0, 3.551, 5.0, 1.0, 0.2653, 0.6923, 0.4694, 0.0, 0.1429, 0.3061, 0.449, 0.1837, 0.04082, 0.0, 0.0, 0.0, 0.0, 0.02041, 0.6923, 0.0, 0.6735, 2.333, 8.048, 6.098, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 3.336, 3.336, 0.8856, 2.0, 3.0, 1.0, 0.88, 0.92, 0.12, 0.0, 0.0, 0.08, 0.25, 0.75, 0.3, 0.25, 0.88, 0.09091, 2.0, 0.1429, 1.05, 12.47, 16.67, 4.0, 23.69, 0.01042, 0.01042, 5.257E-18, 0.03405, 0.03405, 0.03405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 10.0, 10.0, 158.0, 80.0, 1.975, 0.1133, 0.1059, 1.07, 0.2192, 0.02426, 0.0, 0.2, 160.0, 160.0, 0.0, 5.621, 8.895, 6.227, 0.109, 0.109, 0.05406, 0.05406, 0.08984, 0.2773, 0.1086, 0.05357, 0.88, 0.0, 13.0, 13.0, 106.0, 127.0, 1.198, 0.086, 0.084, 1.024, 0.17, 0.02109, 0.0, 0.2308
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_159.mid",14.0, 7.0, 3.0, 2.0, 45.0, 0.06, 0.28, 0.66, 3.0, 3.0, 74.0, 6.88, 71.0, 11.0, 0.16, 0.24, 0.75, 0.9167, 4.0, 3.0, 9.62, 3.397, 2.113, -0.2121, -0.9892, -0.2272, 10.46, 5.189, 5.178, 0.0, 77.0, 5.0, 71.0, 11.0, 4.0, 8.367, 5.0, 3.0, 0.2041, 0.7, 0.4082, 0.0, 0.1429, 0.2857, 0.3469, 0.102, 0.04082, 0.04082, 0.04082, 0.0, 0.0, 0.1429, 0.7, 0.0, 0.551, 1.69, 13.93, 5.233, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.597, 2.597, 0.9289, 2.0, 3.0, 3.0, 0.64, 0.82, 0.36, 0.0, 0.0, 0.18, 0.25, 0.75, 0.385, 0.25, 0.64, 0.2812, 1.0, 0.197, 2.056, 5.827, 4.545, 3.0, 5.574, 0.01042, 0.01042, 5.257E-18, 0.02706, 0.02706, 0.02706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 10.0, 10.0, 158.0, 80.0, 1.975, 0.1294, 0.1154, 1.121, 0.2448, 0.0245, 0.0, 0.2, 160.0, 160.0, 0.0, 7.219, 6.926, 0.1455, 0.1415, 0.1415, 0.07427, 0.07427, 0.08984, 0.2773, 0.1405, 0.07387, 0.64, 0.0, 13.0, 13.0, 106.0, 159.0, 1.5, 0.09649, 0.09649, 1.0, 0.193, 0.0213, 0.0, 0.2308
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_160.mid",10.0, 5.0, 3.0, 1.0, 24.0, 0.0, 0.56, 0.44, 2.0, 2.0, 70.0, 6.22, 79.0, 7.0, 0.42, 0.68, 0.4286, 0.1471, 12.0, 7.0, 8.227, 2.682, 1.897, 0.2844, -0.8723, 0.8538, 5.363, 7.413, 21.52, 0.0, 79.0, 7.0, 79.0, 7.0, 0.0, 3.306, 2.0, 2.0, 0.551, 0.2222, 0.6939, 0.551, 0.04082, 0.1633, 0.02041, 0.06122, 0.0, 0.06122, 0.0, 0.02041, 0.04082, 0.08163, 0.0, 0.02, 0.6364, 2.444, 15.33, 2.216, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.724, 1.724, 0.3286, 7.0, 6.0, 1.0, 0.82, 0.9, 0.16, 0.02, 0.0, 0.08, 0.125, 3.0, 0.365, 0.25, 0.78, 0.1026, 1.0, 0.4164, 0.8286, 40.38, 2.5, 1.0, 1.96, 0.005833, 0.0, 0.03572, 0.3807, 0.3807, 0.3807, 3.0, 3.0, 0.4119, 0.4119, 0.25, 0.25, 0.5373, 0.5373, 0.0, 1.0, 14.0, 10.0, 80.0, 160.0, 2.0, 0.104, 0.09406, 1.105, 0.198, 0.01984, 0.0, 0.3, 148.0, 148.0, 4.056E-11, 11.76, 4.253, 0.5315, 0.2354, 0.2354, 0.2217, 0.2217, 0.03378, 1.115, 0.1456, 0.156, 0.04, 0.0, 17.0, 13.0, 99.0, 198.0, 2.0, 0.08333, 0.0754, 1.105, 0.1587, 0.01788, 0.0, 0.1538
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_161.mid",14.0, 7.0, 2.0, 1.0, 31.0, 0.0, 0.22, 0.78, 4.0, 2.0, 77.0, 6.24, 79.0, 7.0, 0.4, 0.48, 0.4, 0.375, 2.0, 2.0, 7.086, 3.088, 2.935, -0.7282, -0.7384, 1.431, 8.247, 6.253, 9.441, 0.0, 81.0, 9.0, 67.0, 7.0, 0.0, 2.776, 2.0, 2.0, 0.5306, 0.1923, 0.7143, 0.5306, 0.08163, 0.1837, 0.06122, 0.04082, 0.0, 0.04082, 0.04082, 0.0, 0.06122, 0.04082, 2.0, 0.02, 0.5652, 2.091, 11.27, 2.029, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.724, 1.724, 0.5095, 8.0, 8.0, 1.0, 0.8, 0.84, 0.16, 0.04, 0.0, 0.12, 0.125, 4.0, 0.47, 0.25, 0.68, 0.1765, 1.0, 0.6978, 0.9458, 22.53, 2.273, 1.0, 2.208, 0.01083, 0.0, 0.04967, 0.2083, 0.2083, 0.2083, 0.5, 0.5, 0.2718, 0.2718, 0.25, 0.25, 0.1146, 0.1146, 0.0, 1.0, 14.0, 10.0, 120.0, 60.0, 2.0, 0.1238, 0.08911, 1.389, 0.2129, 0.01995, 0.0, 0.3, 148.0, 148.0, 4.056E-11, 11.76, 4.253, 0.41, 0.2374, 0.2374, 0.2584, 0.2584, 0.03378, 1.52, 0.1861, 0.2653, 0.12, 0.0, 17.0, 13.0, 148.0, 40.0, 3.7, 0.09921, 0.0754, 1.316, 0.1746, 0.01777, 0.0, 0.2308
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_162.mid",18.0, 9.0, 1.0, 1.0, 27.0, 0.0, 0.44, 0.56, 5.0, 2.0, 76.0, 6.48, 71.0, 11.0, 0.24, 0.28, 0.3333, 0.5, 5.0, 7.0, 6.793, 3.872, 2.461, 0.1413, -0.4029, -0.1951, 5.47, 5.143, 7.754, 0.0, 76.0, 4.0, 81.0, 9.0, 3.0, 2.918, 5.0, 1.0, 0.2449, 0.75, 0.551, 0.1429, 0.1224, 0.3061, 0.3469, 0.08163, 0.02041, 0.06122, 0.04082, 0.0, 0.0, 0.0, 2.4, 0.0, 0.5476, 2.333, 7.833, 3.96, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.803, 1.803, NaN, 4.0, 3.0, 1.0, 0.92, 0.98, 0.08, 0.0, 0.0, 0.02, 0.25, 1.5, 0.29, 0.25, 0.92, 0.06522, 1.0, 0.1846, 0.65, 45.88, 7.143, 2.0, 11.54, 0.0165, 0.0, 0.02884, 0.5068, 0.5068, 0.5068, 8.0, 8.0, 1.255, 1.255, 0.8, 0.8, 2.254, 2.254, 0.0, 4.0, 10.0, 10.0, 120.0, 60.0, 2.0, 0.1254, 0.1134, 1.105, 0.2388, 0.02441, 0.0, 0.3, 135.0, 135.0, 6.254E-12, 12.32, 4.058, 1.353, 0.1732, 0.1732, 0.1321, 0.1321, 0.08889, 0.6, 0.1216, 0.07313, 0.24, 3.0, 11.0, 11.0, 134.0, 68.0, 1.971, 0.117, 0.1058, 1.105, 0.2228, 0.02328, 0.0, 0.1818
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_163.mid",23.0, 12.0, 1.0, 0.0, 53.0, 0.02, 0.1, 0.88, 2.0, 4.0, 80.0, 4.74, 85.0, 2.0, 0.1, 0.14, 0.8, 0.8571, 11.0, 5.0, 8.754, 3.25, 3.512, 0.1165, 0.683, 0.08541, 14.29, 5.436, 5.103, 0.0, 79.0, 7.0, 69.0, 9.0, 1.0, 4.286, 4.0, 1.0, 0.2857, 0.7857, 0.2857, 0.04082, 0.2857, 0.5102, 0.1837, 0.1224, 0.0, 0.04082, 0.02041, 0.02041, 0.0, 0.06122, 2.0, 0.0, 0.4894, 3.917, 15.5, 4.958, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.054, 1.054, 0.6786, 6.0, 4.0, 2.0, 0.7, 0.86, 0.18, 0.12, 0.0, 0.14, 0.25, 3.0, 0.645, 0.25, 0.7, 0.2286, 1.0, 0.8994, 1.318, 9.748, 1.724, 1.0, 0.9598, 0.07267, 0.05, 0.07151, 0.3246, 0.3246, 0.3246, 8.0, 8.0, 0.5773, 0.5773, 0.3, 0.3, 1.547, 1.547, 0.0, 5.0, 10.0, 5.0, 120.0, 80.0, 1.5, 0.168, 0.16, 1.05, 0.328, 0.0271, 0.0, 0.6, 135.0, 135.0, 6.623E-12, 21.09, 2.371, 1.446, 0.4242, 0.4242, 0.6528, 0.6528, 0.08889, 1.444, 0.2849, 0.4402, 0.68, 5.0, 11.0, 5.0, 134.0, 90.0, 1.489, 0.1603, 0.1527, 1.05, 0.313, 0.02599, 0.0, 0.4
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_164.mid",6.0, 6.0, 5.0, 1.0, 7.0, 0.0, 0.66, 0.34, 2.0, 4.0, 72.0, 4.32, 72.0, 0.0, 0.32, 0.32, 0.5625, 0.5625, 3.0, 9.0, 2.153, 4.297, 2.738, 0.3344, 0.9215, -0.1315, 5.53, 4.956, 6.596, 0.0, 69.0, 9.0, 72.0, 0.0, 1.0, 2.184, 3.0, 1.0, 0.4286, 0.5714, 0.2245, 0.0, 0.4286, 0.6735, 0.2245, 0.08163, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.0, 2.667, 0.0, 0.3878, 2.042, 4.417, 5.477, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.925, 1.925, 1.411, 7.0, 5.0, 2.0, 0.8, 0.88, 0.14, 0.12, 0.0, 0.06, 0.125, 3.0, 0.52, 0.25, 0.64, 0.25, 1.0, 0.7641, 1.06, 11.87, 3.846, 2.0, 3.436, 0.0175, 0.02083, 0.01142, 0.03288, 0.03288, 0.03288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 19.0, 8.0, 160.0, 120.0, 1.333, 0.15, 0.135, 1.111, 0.285, 0.02223, 0.0, 0.25, 96.0, 96.0, 0.0, 16.24, 3.079, 1.833, 0.3271, 0.3271, 0.4819, 0.4819, 0.05208, 1.862, 0.3141, 0.4772, 0.16, 4.0, 16.0, 7.0, 192.0, 128.0, 1.5, 0.1762, 0.1429, 1.233, 0.319, 0.0247, 0.0, 0.5714
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_165.mid",6.0, 6.0, 6.0, 1.0, 7.0, 0.0, 0.56, 0.44, 4.0, 2.0, 72.0, 4.04, 72.0, 0.0, 0.28, 0.28, 0.5714, 0.5714, 3.0, 2.0, 2.281, 3.933, 3.02, 0.8945, 0.7933, 0.3179, 5.327, 5.391, 5.994, 0.0, 76.0, 4.0, 75.0, 3.0, 1.0, 2.184, 3.0, 1.0, 0.449, 0.5, 0.2245, 0.0, 0.449, 0.6735, 0.2245, 0.06122, 0.04082, 0.0, 0.0, 0.0, 0.0, 0.0, 2.667, 0.0, 0.4082, 2.227, 4.818, 5.795, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.724, 1.724, 0.8747, 7.0, 5.0, 2.0, 0.8, 0.84, 0.12, 0.16, 0.0, 0.08, 0.125, 3.0, 0.58, 0.25, 0.48, 0.6667, 1.0, 0.874, 1.133, 9.298, 3.571, 1.0, 3.435, 0.01875, 0.02083, 0.01348, 0.03233, 0.03233, 0.03233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 19.0, 11.0, 160.0, 120.0, 1.333, 0.1193, 0.1029, 1.16, 0.2222, 0.01937, 0.0, 0.2727, 96.0, 96.0, 0.0, 18.12, 2.759, 1.4, 0.3303, 0.3303, 0.5059, 0.5059, 0.05208, 1.862, 0.3508, 0.546, 0.32, 3.0, 16.0, 9.0, 192.0, 128.0, 1.5, 0.1434, 0.1189, 1.207, 0.2623, 0.02169, 0.0, 0.4444
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle_halved\battle_halved_166.mid",8.0, 6.0, 5.0, 3.0, 29.0, 0.16, 0.84, 0.0, 2.0, 3.0, 55.0, 5.96, 60.0, 9.0, 0.3, 0.32, 0.8, 0.9375, 1.0, 9.0, 8.847, 4.664, 2.25, -1.139, -1.955, -0.5334, 9.233, 4.62, 8.659, 0.0, 45.0, 9.0, 60.0, 0.0, 1.0, 8.306, 4.0, 1.0, 0.2857, 0.9286, 0.08163, 0.02041, 0.2857, 0.551, 0.04082, 0.102, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.2653, 0.0, 0.0, 0.3333, 1.6, 12.67, 5.143, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 4.007, 4.007, 0.005771, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0, 0.02083, 0.02083, 1.051E-17, 0.0818, 0.0818, 0.0818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1106, 0.1082, 1.022, 0.2188, 0.02427, 0.0, 0.3, 110.0, 110.0, 1.649E-12, 6.807, 7.346, 0.2452, 0.1352, 0.1352, 8.413E-17, 8.413E-17, 0.125, 0.125, 0.125, 2.804E-17, 0.0, 9.0, 9.0, 9.0, 147.0, 110.0, 1.336, 0.1214, 0.1189, 1.022, 0.2403, 0.02565, 0.0, 0.2222
