,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\Title-Screen.mid",22.0, 11.0, 2.0, 1.0, 55.0, 0.06, 0.28, 0.66, 3.0, 3.0, 72.0, 6.6, 81.0, 9.0, 0.14, 0.24, 1.0, 0.6667, 2.0, 2.0, 12.12, 3.37, 2.385, -1.426, -1.246, -0.1006, 7.512, 4.982, 5.688, 0.0, 81.0, 9.0, 83.0, 11.0, 2.0, 5.616, 3.0, 5.0, 0.3737, 0.4324, 0.3131, 0.0303, 0.1111, 0.4848, 0.08081, 0.0404, 0.06061, 0.1616, 0.0101, 0.0101, 0.0101, 0.1111, 1.667, 0.0, 0.5417, 1.745, 10.07, 4.019, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.418, 1.418, 0.5101, 8.0, 9.0, 2.0, 0.33, 0.82, 0.61, 0.08, 0.0, 0.09, 0.125, 4.0, 0.7075, 0.5, 0.49, 0.551, 1.0, 0.8471, 0.7349, 14.25, 1.818, 1.0, 1.188, 0.008958, 0.0, 0.05064, 0.002069, 0.002069, 0.002069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 12.0, 10.0, 120.0, 80.0, 1.5, 0.1504, 0.1309, 1.149, 0.2813, 0.02444, 0.0, 0.3, 100.0, 100.0, 0.0, 42.3, 2.364, 0.6769, 0.4227, 0.4227, 0.5023, 0.5023, 0.1, 2.4, 0.4221, 0.5001, 0.06, 5.0, 11.0, 8.0, 199.0, 100.0, 1.99, 0.1783, 0.1504, 1.185, 0.3287, 0.0262, 0.0, 0.125
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\SNESChaChaTitle.mid",24.0, 11.0, 1.0, 1.0, 50.0, 0.08, 0.24, 0.68, 7.0, 2.0, 75.0, 5.91, 88.0, 4.0, 0.09, 0.2, 0.8889, 0.85, 17.0, 7.0, 11.66, 3.459, 2.322, -0.6097, -0.07807, -0.1421, 7.778, 4.866, 5.547, 0.0, 67.0, 7.0, 45.0, 9.0, 2.0, 5.677, 3.0, 1.0, 0.3434, 0.5, 0.1818, 0.05051, 0.1717, 0.5152, 0.05051, 0.1313, 0.0, 0.08081, 0.08081, 0.0, 0.0, 0.09091, 1.5, 0.01, 0.5106, 1.741, 9.963, 4.55, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 0.8, 0.8, 0.455, 8.0, 8.0, 3.0, 0.25, 0.48, 0.62, 0.15, 0.03, 0.24, 0.25, 6.0, 1.077, 1.0, 0.26, 0.9615, 3.0, 1.18, 0.8327, 13.69, 2.041, 1.0, 1.767, 0.04833, 0.0, 0.1282, 0.1473, 0.1473, 0.1473, 4.0, 4.0, 0.9208, 0.9208, 0.5, 0.5, 1.114, 1.114, 0.0, 3.0, 14.0, 5.0, 120.0, 40.0, 3.0, 0.1872, 0.1574, 1.189, 0.3447, 0.02499, 0.0, 0.6, 150.0, 150.0, 0.0, 50.0, 2.0, 0.9113, 0.4875, 0.4875, 0.4992, 0.4992, 0.1, 2.6, 0.4263, 0.4686, 0.15, 3.0, 19.0, 6.0, 150.0, 50.0, 3.0, 0.156, 0.1312, 1.189, 0.2872, 0.02199, 0.0, 0.5
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\archon_title.mid",22.0, 12.0, 5.0, 0.0, 48.0, 0.06, 0.24, 0.7, 4.0, 2.0, 73.0, 5.69, 79.0, 2.0, 0.14, 0.18, 0.7857, 0.9444, 5.0, 7.0, 10.1, 2.974, 3.677, -0.8168, 0.6961, 1.46, 12.19, 4.968, 5.073, 0.0, 81.0, 9.0, 69.0, 9.0, 0.0, 4.141, 4.0, 1.0, 0.3535, 0.5143, 0.5253, 0.3535, 0.1818, 0.2929, 0.1111, 0.08081, 0.0303, 0.0101, 0.0101, 0.0101, 0.0404, 0.06061, 4.5, 0.0, 0.4219, 1.939, 11.48, 3.221, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.754, 1.754, 1.671, 8.0, 5.0, 1.0, 0.9, 0.9, 0.04, 0.08, 0.0, 0.0, 0.125, 4.0, 0.5125, 0.25, 0.8, 0.125, 1.0, 0.926, 0.8504, 16.2, 5.0, 2.0, 7.867, 0.005, 0.0, 0.01989, 0.09211, 0.09211, 0.09211, 4.0, 4.0, 0.4773, 0.4773, 0.125, 0.125, 1.168, 1.168, 0.0, 5.0, 10.0, 10.0, 120.0, 160.0, 1.333, 0.1128, 0.11, 1.025, 0.2228, 0.02402, 0.0, 0.3, 130.0, 130.0, 1.893E-11, 26.31, 3.801, 3.481, 0.244, 0.244, 0.4267, 0.4267, 0.05769, 1.846, 0.2388, 0.4268, 0.1, 2.0, 11.0, 11.0, 130.0, 173.0, 1.331, 0.1042, 0.1017, 1.025, 0.2059, 0.02287, 0.0, 0.1818
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\Platoon-Title.mid",9.0, 6.0, 2.0, 1.0, 22.0, 0.0, 0.38, 0.62, 1.0, 1.0, 69.0, 2.08, 73.0, 1.0, 0.56, 0.84, 0.5, 0.09524, 12.0, 10.0, 5.752, 2.831, 1.03, -1.815, 1.145, -1.048, 5.145, 11.72, 15.92, 0.0, 73.0, 1.0, 61.0, 1.0, 12.0, 7.838, 3.0, 12.0, 0.5354, 0.3208, 0.7677, 0.1717, 0.0101, 0.1616, 0.0303, 0.0101, 0.0, 0.0, 0.06061, 0.0101, 0.5354, 0.0202, 2.0, 0.0, 0.5, 1.079, 10.01, 2.281, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.724, 1.724, 0.742, 7.0, 4.0, 1.0, 0.91, 0.91, 0.05, 0.06, 0.0, 0.03, 0.25, 4.0, 0.45, 0.25, 0.91, 0.04396, 7.0, 0.7728, 0.7764, 22.56, 7.692, 2.0, 9.776, 0.0, 0.0, 0.0, 0.2241, 0.2241, 0.2241, 0.5, 0.5, 0.2889, 0.2889, 0.25, 0.25, 0.09163, 0.09163, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.134, 0.1126, 1.19, 0.2466, 0.02452, 0.0, 0.3, 100.0, 100.0, 0.0, 34.8, 2.874, 1.14, 0.3475, 0.3475, 0.4792, 0.4792, 0.15, 2.4, 0.27, 0.4637, 0.0, 5.0, 9.0, 9.0, 133.0, 100.0, 1.33, 0.1462, 0.1229, 1.19, 0.2691, 0.02591, 0.0, 0.1111
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\capkid1-02a.mid",10.0, 10.0, 3.0, 2.0, 11.0, 0.0, 1.0, 0.0, 2.0, 2.0, 63.0, 3.71, 64.0, 4.0, 0.35, 0.35, 0.7143, 0.7143, 4.0, 4.0, 2.724, 2.724, 3.574, -0.3194, -0.3194, 0.2098, 5.895, 5.895, 5.651, 0.0, 64.0, 4.0, 64.0, 4.0, 0.0, 3.071, 3.0, 4.0, 0.3434, 1.0, 0.7475, 0.3434, 0.0, 0.0101, 0.3434, 0.202, 0.0404, 0.06061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4923, 1.032, 4.762, 2.548, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 4.002, 4.002, 2.003, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.01042, 0.01042, 1.22E-17, 0.04127, 0.04127, 0.04127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1049, 0.1038, 1.01, 0.2086, 0.02422, 0.0, 0.3, 60.0, 60.0, 0.0, 24.99, 4.002, 0.0, 0.2474, 0.2474, 5.579E-16, 5.579E-16, 0.2396, 0.2396, 0.2396, 5.858E-16, 0.0, 5.0, 5.0, 5.0, 120.0, 80.0, 1.5, 0.2042, 0.2021, 1.01, 0.4062, 0.03481, 0.0, 0.6
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\mk2_zb_title_story.mid",8.0, 5.0, 5.0, 2.0, 74.0, 0.24, 0.0, 0.76, 2.0, 4.0, 69.0, 4.85, 88.0, 4.0, 0.3, 0.33, 0.6, 0.697, 73.0, 1.0, 30.03, 3.092, 2.645, -1.522, 0.8246, 1.94, 5.759, 6.432, 4.77, 0.0, 15.0, 3.0, 88.0, 4.0, 1.0, 6.778, 5.0, 4.0, 0.2626, 0.9231, 0.2121, 0.1212, 0.2626, 0.3737, 0.09091, 0.2424, 0.06061, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.06, 0.4828, 1.642, 12.64, 4.655, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 0.3354, 0.3354, NaN, 8.0, 4.0, 3.0, 0.0, 0.23, 0.59, 0.41, 0.11, 0.3, 0.5, 8.0, 2.255, 1.0, 0.36, 0.8333, 3.0, 2.264, 1.663, 8.121, 1.786, 1.0, 1.569, 0.06, 0.0, 0.2387, 0.2236, 0.2236, 0.2236, 18.68, 18.68, 3.51, 3.51, 3.0, 3.0, 3.965, 3.965, 0.0, 3.0, 4.0, 2.0, 40.0, 120.0, 3.0, 0.4643, 0.3452, 1.345, 0.8095, 0.04672, 0.0, 1.0, 141.0, 141.0, 4.049E-10, 126.9, 0.7881, 0.4023, 1.279, 1.279, 1.448, 1.448, 0.2128, 3.83, 0.9851, 1.032, 0.0, 3.0, 5.0, 2.0, 47.0, 141.0, 3.0, 0.4333, 0.3222, 1.345, 0.7556, 0.04387, 0.0, 1.0
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\T_OmakeVGTitle_MVCStyle.mid",13.0, 7.0, 3.0, 2.0, 31.0, 0.0, 0.87, 0.13, 2.0, 2.0, 63.0, 4.26, 62.0, 2.0, 0.38, 0.45, 0.4737, 0.5111, 5.0, 7.0, 6.341, 3.19, 2.213, 0.6718, 2.126, 0.9488, 8.125, 4.809, 12.28, 0.0, 60.0, 0.0, 62.0, 2.0, 0.0, 1.778, 2.0, 2.0, 0.5657, 0.2857, 0.7172, 0.5657, 0.0303, 0.1919, 0.1111, 0.07071, 0.0, 0.0303, 0.0, 0.0, 0.0101, 0.0202, 0.375, 0.0, 0.6512, 1.955, 7.909, 2.506, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.554, 1.554, 0.724, 7.0, 6.0, 1.0, 0.14, 0.87, 0.84, 0.04, 0.0, 0.01, 0.25, 4.0, 0.6, 0.5, 0.73, 0.1918, 1.0, 0.5038, 0.5955, 32.24, 3.226, 2.0, 2.604, 0.01652, 0.0125, 0.05097, 0.09342, 0.09342, 0.09342, 5.0, 5.0, 1.733, 1.733, 0.1, 0.1, 2.829, 2.829, 0.0, 5.0, 10.0, 5.0, 120.0, 80.0, 1.5, 0.1747, 0.157, 1.113, 0.3316, 0.02637, 0.0, 0.6, 175.0, 175.0, 2.842E-12, 22.07, 4.532, 0.6629, 0.2205, 0.2205, 0.2369, 0.2369, 0.08571, 1.371, 0.2, 0.1657, 0.14, 6.0, 15.0, 7.0, 175.0, 44.0, 3.977, 0.1283, 0.1227, 1.045, 0.2509, 0.02321, 0.0, 0.1429
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\F-Zero.mid",7.0, 5.0, 1.0, 1.0, 36.0, 0.07, 0.01, 0.92, 2.0, 1.0, 73.0, 3.8, 75.0, 3.0, 0.86, 0.86, 0.0814, 0.1047, 29.0, 7.0, 7.58, 2.113, 1.214, -0.7283, 1.136, -0.09887, 15.52, 10.55, 43.03, 0.0, 75.0, 3.0, 75.0, 3.0, 0.0, 4.424, 2.0, 29.0, 0.7576, 0.1867, 0.7778, 0.7576, 0.0101, 0.05051, 0.0202, 0.0303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1414, 0.0, 0.0, 0.5417, 1.412, 24.06, 1.891, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.395, 2.395, 1.514, 8.0, 5.0, 1.0, 0.93, 0.97, 0.04, 0.03, 0.0, 0.01, 0.125, 4.0, 0.255, 0.125, 0.86, 1.0, 0.0, 0.6136, 0.6356, 37.17, 4.167, 2.0, 4.678, 0.03858, 0.04167, 0.02528, 0.298, 0.298, 0.298, 0.3333, 0.3333, 0.303, 0.303, 0.3333, 0.3333, 0.04103, 0.04103, 0.0, 2.0, 10.0, 10.0, 120.0, 80.0, 1.5, 0.1088, 0.1073, 1.014, 0.216, 0.02335, 0.0, 0.3, 165.0, 165.0, 1.623E-11, 15.18, 6.587, 3.791, 0.1512, 0.1512, 0.2276, 0.2276, 0.06061, 1.545, 0.1066, 0.2261, 0.93, 0.0, 13.0, 13.0, 165.0, 110.0, 1.5, 0.08561, 0.08442, 1.014, 0.17, 0.02019, 0.0, 0.1538
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\Wizardry_I_Opening_Theme.mid",15.0, 9.0, 5.0, 2.0, 20.0, 0.0, 0.38, 0.62, 4.0, 3.0, 72.0, 4.8, 74.0, 5.0, 0.14, 0.21, 0.8571, 0.9524, 2.0, 3.0, 5.689, 2.741, 3.846, -0.7383, -0.2189, 0.6241, 5.187, 5.412, 5.085, 0.0, 62.0, 2.0, 74.0, 2.0, 2.0, 2.02, 3.0, 1.0, 0.5152, 0.5882, 0.1717, 0.0101, 0.303, 0.8182, 0.1414, 0.0101, 0.0, 0.0101, 0.0, 0.0, 0.0101, 0.0, 6.0, 0.0, 0.5612, 2.279, 4.605, 3.879, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.212, 1.212, 0.4946, 6.0, 6.0, 2.0, 0.0, 0.59, 0.98, 0.08, 0.0, 0.34, 0.5, 4.0, 0.7475, 0.5, 0.59, 0.5254, 1.0, 0.5488, 1.353, 21.23, 2.128, 2.0, 1.583, 0.05531, 0.01042, 0.069, 0.09824, 0.09824, 0.09824, 0.25, 0.25, 0.1829, 0.1829, 0.1667, 0.1667, 0.03343, 0.03343, 0.0, 5.0, 5.0, 5.0, 60.0, 120.0, 2.0, 0.2366, 0.2177, 1.087, 0.4543, 0.03518, 0.0, 0.4, 200.0, 200.0, 0.0, 24.75, 4.041, 0.293, 0.2469, 0.2469, 0.1689, 0.1689, 0.1469, 1.125, 0.2232, 0.1474, 0.0, 5.0, 9.0, 9.0, 100.0, 199.0, 1.99, 0.1384, 0.1273, 1.087, 0.2657, 0.02594, 0.0, 0.3333
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\cmmando.mid",18.0, 11.0, 4.0, 1.0, 24.0, 0.01, 0.7, 0.29, 4.0, 3.0, 68.0, 4.78, 64.0, 4.0, 0.2, 0.3, 0.5, 0.4667, 4.0, 3.0, 5.088, 2.866, 2.452, 0.1533, 0.8165, -0.3181, 5.443, 5.658, 5.65, 0.0, 73.0, 1.0, 76.0, 4.0, 1.0, 2.232, 3.0, 1.0, 0.3434, 0.7647, 0.2929, 0.1818, 0.3434, 0.6061, 0.101, 0.05051, 0.0, 0.0, 0.0303, 0.0, 0.0101, 0.0202, 1.0, 0.0, 0.4691, 2.077, 5.641, 4.273, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.669, 1.669, 0.2056, 5.0, 6.0, 2.0, 0.5, 0.81, 0.5, 0.01, 0.0, 0.09, 0.25, 2.0, 0.48, 0.25, 0.5, 0.62, 1.0, 0.3327, -0.1803, 11.34, 2.083, 2.0, 1.285, 0.01417, 0.0, 0.03564, 0.1864, 0.1864, 0.1864, 1.5, 1.5, 0.319, 0.319, 0.25, 0.25, 0.2209, 0.2209, 0.0, 5.0, 16.0, 9.0, 60.0, 120.0, 2.0, 0.1342, 0.1316, 1.019, 0.2658, 0.02255, 0.1111, 0.2222, 145.0, 145.0, 1.714E-11, 24.79, 4.033, 0.2876, 0.2459, 0.2459, 0.1352, 0.1352, 0.1034, 0.8276, 0.2017, 0.131, 0.0, 2.0, 17.0, 11.0, 73.0, 144.0, 1.973, 0.1121, 0.1099, 1.019, 0.222, 0.01999, 0.1818, 0.1818
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\podrace.mid",14.0, 6.0, 4.0, 2.0, 26.0, 0.24, 0.71, 0.05, 2.0, 3.0, 59.0, 6.83, 55.0, 7.0, 0.27, 0.32, 0.5926, 0.6562, 2.0, 2.0, 6.933, 2.084, 2.08, 1.796, -0.2447, 0.5914, 6.068, 5.626, 5.885, 0.0, 71.0, 11.0, 69.0, 9.0, 2.0, 2.869, 3.0, 1.0, 0.5051, 0.36, 0.2525, 0.05051, 0.1818, 0.6869, 0.1313, 0.0101, 0.0101, 0.0202, 0.0202, 0.05051, 0.0, 0.0202, 0.0, 0.02, 0.4681, 2.541, 7.622, 4.576, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.198, 1.198, 0.8668, 8.0, 4.0, 3.0, 0.24, 0.77, 0.73, 0.03, 0.03, 0.23, 0.25, 6.0, 0.655, 0.5, 0.53, 0.4528, 1.0, 0.9593, 0.4847, 34.14, 2.381, 2.0, 1.035, 0.04719, 0.01042, 0.1276, 0.1782, 0.1782, 0.1782, 5.167, 5.167, 0.5868, 0.5868, 0.1667, 0.1667, 1.262, 1.262, 0.0, 5.0, 10.0, 5.0, 60.0, 120.0, 2.0, 0.1758, 0.1653, 1.064, 0.3411, 0.02747, 0.0, 0.4, 140.0, 140.0, 5.116E-12, 35.78, 2.795, 2.288, 0.3398, 0.3398, 0.5619, 0.5619, 0.1027, 2.893, 0.2941, 0.4671, 0.0, 6.0, 12.0, 6.0, 70.0, 140.0, 2.0, 0.1495, 0.1405, 1.064, 0.2901, 0.02491, 0.0, 0.3333
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\YITitle.mid",14.0, 7.0, 5.0, 3.0, 33.0, 0.04, 0.53, 0.43, 2.0, 3.0, 69.0, 5.83, 62.0, 2.0, 0.18, 0.3, 0.5556, 0.7, 3.0, 5.0, 10.78, 3.531, 3.456, 1.233, 0.7052, 1.606, 4.71, 4.905, 6.437, 0.0, 55.0, 7.0, 79.0, 7.0, 2.0, 5.798, 3.0, 5.0, 0.2828, 0.5714, 0.3737, 0.06061, 0.06061, 0.3434, 0.1313, 0.0303, 0.08081, 0.1616, 0.08081, 0.0, 0.0, 0.1111, 5.5, 0.0, 0.4839, 1.409, 8.333, 5.26, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.632, 2.632, 0.3859, 4.0, 5.0, 2.0, 0.7, 0.92, 0.3, 0.0, 0.0, 0.06, 0.25, 1.5, 0.365, 0.25, 0.7, 0.3143, 1.0, 0.2314, 1.491, 17.13, 1.852, 1.0, 1.676, 0.005333, 0.0, 0.01706, 0.05, 0.05, 0.05, 0.25, 0.25, 0.2389, 0.2389, 0.25, 0.25, 0.02722, 0.02722, 0.0, 4.0, 10.0, 10.0, 60.0, 96.0, 1.6, 0.1248, 0.1133, 1.101, 0.2381, 0.02443, 0.0, 0.2, 96.0, 96.0, 0.0, 23.75, 4.211, 0.6175, 0.2331, 0.2331, 0.1452, 0.1452, 0.1198, 0.9375, 0.2256, 0.1435, 0.0, 8.0, 8.0, 8.0, 48.0, 77.0, 1.604, 0.1493, 0.1356, 1.101, 0.2849, 0.02741, 0.0, 0.375
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\SBomb3-Title.mid",16.0, 6.0, 3.0, 2.0, 53.0, 0.01, 0.2, 0.79, 4.0, 2.0, 81.0, 6.22, 93.0, 7.0, 0.19, 0.36, 0.8421, 0.8333, 2.0, 2.0, 11.12, 2.638, 2.082, -1.257, -0.8869, 0.7206, 6.486, 5.543, 15.24, 0.0, 93.0, 9.0, 67.0, 7.0, 12.0, 14.26, 4.0, 12.0, 0.4141, 0.2927, 0.5354, 0.0, 0.0, 0.101, 0.0101, 0.0404, 0.0, 0.0, 0.05051, 0.09091, 0.4141, 0.2929, 0.0, 0.0, 0.4646, 1.303, 18.24, 3.433, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 3.571, 3.571, 0.3658, 1.0, 2.0, 1.0, 0.98, 1.0, 0.02, 0.0, 0.0, 0.0, 0.25, 0.5, 0.255, 0.25, 0.98, 0.02041, 1.0, 0.03518, 0.4264, 53.6, 25.0, 30.0, 31.76, 0.0, 0.0, 0.0, 0.08929, 0.08929, 0.08929, 0.75, 0.75, 0.4167, 0.4167, 0.5, 0.5, 0.2041, 0.2041, 0.0, 6.0, 10.0, 10.0, 96.0, 69.0, 1.391, 0.1032, 0.102, 1.011, 0.2052, 0.02422, 0.0, 0.2, 115.0, 115.0, 5.102E-12, 14.61, 6.845, 0.0251, 0.1419, 0.1419, 0.0704, 0.0704, 0.1304, 0.2609, 0.133, 0.01835, 0.0, 9.0, 9.0, 9.0, 92.0, 66.0, 1.394, 0.1138, 0.1125, 1.011, 0.2264, 0.02561, 0.0, 0.2222
"D:\AlphaProject\_PythonML\pythonProject\melodies\title\Drrtitle.mid",10.0, 8.0, 3.0, 2.0, 41.0, 0.66, 0.34, 0.0, 1.0, 2.0, 46.0, 5.65, 36.0, 9.0, 0.35, 0.51, 0.7429, 0.7059, 3.0, 9.0, 16.56, 4.441, 2.38, 1.914, -2.263, -0.8193, 4.634, 4.424, 9.108, 0.0, 33.0, 9.0, 70.0, 10.0, 36.0, 23.42, 4.0, 3.0, 0.2727, 0.8148, 0.2727, 0.1414, 0.0404, 0.06061, 0.1313, 0.0101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6566, 0.0, 0.0, 0.5176, 1.181, 31.69, 3.119, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.415, 1.415, 0.9657, 9.0, 4.0, 2.0, 0.95, 0.95, 0.0, 0.05, 0.03, 0.05, 0.125, 6.0, 0.4275, 0.25, 0.55, 0.7273, 1.0, 1.063, 0.5011, 28.18, 1.724, 1.0, 1.436, 0.0601, 0.04167, 0.04742, 0.3292, 0.3292, 0.3292, 2.667, 2.667, 0.348, 0.348, 0.1667, 0.1667, 0.51, 0.51, 0.0, 5.0, 10.0, 10.0, 120.0, 80.0, 1.5, 0.1403, 0.138, 1.016, 0.2783, 0.0251, 0.0, 0.3, 130.0, 130.0, 4.494E-11, 32.62, 3.066, 2.037, 0.3275, 0.3275, 0.5065, 0.5065, 0.07692, 2.764, 0.2188, 0.478, 0.4, 5.0, 11.0, 11.0, 130.0, 87.0, 1.494, 0.1305, 0.1284, 1.016, 0.2589, 0.02388, 0.0, 0.1818
