,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\GB_Castlevania_2_Belmonts_Revenge_Final_Battle.mid",25.0, 9.0, 1.0, 1.0, 41.0, 0.69, 0.2, 0.11, 1.0, 3.0, 51.0, 4.63, 40.0, 4.0, 0.27, 0.4, 0.2963, 0.35, 1.0, 1.0, 12.29, 2.798, 3.034, 0.6812, 0.6754, 0.6822, 5.832, 6.644, 6.549, 0.0, 40.0, 4.0, 40.0, 4.0, 2.0, 4.384, 4.0, 2.0, 0.202, 0.9, 0.4343, 0.1818, 0.1818, 0.3838, 0.09091, 0.06061, 0.0, 0.1616, 0.06061, 0.0, 0.0, 0.06061, 0.5, 0.0, 0.7531, 2.189, 10.68, 8.986, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.186, 2.186, 0.8163, 3.0, 4.0, 2.0, 0.46, 0.83, 0.54, 0.0, 0.0, 0.09, 0.25, 1.0, 0.4475, 0.25, 0.46, 0.8043, 1.0, 0.2283, -0.6898, 6.611, 2.273, 1.0, 5.55, 0.0, 0.0, 0.0, 0.02186, 0.02186, 0.02186, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 40.0, 80.0, 2.0, 0.1175, 0.1124, 1.045, 0.23, 0.02433, 0.0, 0.4, 149.0, 149.0, 9.919E-12, 18.42, 5.428, 2.176, 0.184, 0.184, 0.1014, 0.1014, 0.1007, 0.4027, 0.1802, 0.09195, 0.0, 0.0, 13.0, 13.0, 50.0, 100.0, 2.0, 0.09274, 0.08871, 1.045, 0.1815, 0.02114, 0.0, 0.3077
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\HNK_KNKN_-_Armor_Battle_Theme.mid",11.0, 7.0, 4.0, 1.0, 48.0, 0.02, 0.03, 0.95, 2.0, 2.0, 79.0, 5.0, 76.0, 4.0, 0.37, 0.5, 0.3784, 0.36, 7.0, 2.0, 7.472, 3.065, 2.191, 0.8672, 0.9788, 0.219, 19.69, 6.042, 10.72, 0.0, 71.0, 11.0, 76.0, 4.0, 0.0, 4.152, 3.0, 2.0, 0.303, 0.8, 0.5556, 0.303, 0.06061, 0.303, 0.1515, 0.07071, 0.0303, 0.0202, 0.0, 0.0101, 0.07071, 0.0404, 1.5, 0.0, 0.5362, 1.865, 10.84, 4.538, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.966, 1.966, 0.4495, 6.0, 5.0, 1.0, 0.94, 0.95, 0.06, 0.04, 0.0, 0.01, 0.125, 2.0, 0.32, 0.25, 0.88, 0.06818, 1.0, 0.3506, 0.599, 25.77, 4.348, 1.0, 5.006, 0.001406, 0.0, 0.01252, 0.3738, 0.3738, 0.3738, 2.5, 2.5, 0.3333, 0.3333, 0.25, 0.25, 0.3216, 0.3216, 0.0, 1.0, 20.0, 13.0, 159.0, 96.0, 1.656, 0.1013, 0.09052, 1.119, 0.1918, 0.01888, 0.0, 0.1538, 160.0, 160.0, 0.0, 19.08, 5.242, 0.4946, 0.1903, 0.1903, 0.1791, 0.1791, 0.04688, 0.75, 0.1195, 0.131, 0.94, 0.0, 24.0, 19.0, 128.0, 160.0, 1.25, 0.07304, 0.06957, 1.05, 0.1426, 0.01629, 0.0, 0.1579
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\IoGfinal.mid",7.0, 7.0, 5.0, 1.0, 8.0, 0.0, 0.0, 1.0, 3.0, 3.0, 85.0, 4.24, 88.0, 4.0, 0.24, 0.24, 0.7917, 0.7917, 7.0, 5.0, 2.614, 3.364, 2.941, -0.8724, 0.214, 0.7753, 5.04, 5.46, 6.304, 0.0, 81.0, 9.0, 81.0, 9.0, 1.0, 3.01, 3.0, 6.0, 0.4343, 0.6279, 0.3636, 0.0101, 0.4343, 0.6364, 0.08081, 0.0, 0.0, 0.2727, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.449, 1.719, 5.105, 5.066, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.239, 2.239, 0.4201, 2.0, 2.0, 2.0, 0.75, 0.75, 0.25, 0.0, 0.0, 0.25, 0.25, 0.75, 0.375, 0.25, 0.75, 0.3333, 2.0, 0.2176, 1.723, 5.547, 2.703, 1.0, 4.858, 0.04562, 0.03125, 0.02693, 0.2134, 0.2134, 0.2134, 0.2604, 0.2604, 0.1336, 0.1336, 0.1146, 0.1146, 0.04947, 0.04947, 0.0, 8.0, 8.0, 8.0, 120.0, 60.0, 2.0, 0.147, 0.1385, 1.061, 0.2855, 0.02737, 0.0, 0.375, 150.0, 150.0, 0.0, 17.86, 5.598, 0.5838, 0.1757, 0.1757, 0.08518, 0.08518, 0.0875, 0.2958, 0.1405, 0.0795, 0.6, 9.0, 9.0, 9.0, 150.0, 75.0, 2.0, 0.1332, 0.1256, 1.061, 0.2588, 0.02574, 0.0, 0.3333
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\GPTB-1.mid",19.0, 8.0, 3.0, 1.0, 48.0, 0.1, 0.39, 0.51, 7.0, 2.0, 71.0, 5.73, 67.0, 4.0, 0.1, 0.24, 1.0, 0.7083, 9.0, 7.0, 11.91, 3.42, 2.186, -0.7231, -0.2369, -0.6725, 7.84, 5.232, 6.056, 0.0, 64.0, 4.0, 74.0, 2.0, 2.0, 7.879, 3.0, 1.0, 0.2828, 0.8214, 0.2424, 0.0303, 0.2323, 0.5152, 0.1717, 0.0303, 0.0, 0.0, 0.0, 0.0, 0.0404, 0.2121, 0.5455, 0.0, 0.5208, 1.846, 14.73, 4.468, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 0.7634, 0.7634, 0.3325, 7.0, 5.0, 3.0, 0.2, 0.37, 0.6, 0.2, 0.0, 0.1, 0.25, 4.0, 1.265, 1.0, 0.43, 0.4651, 3.0, 1.183, 0.6722, 6.809, 2.0, 1.0, 2.657, 0.0, 0.0, 0.0, 0.03435, 0.03435, 0.03435, 1.0, 1.0, 0.5625, 0.5625, 0.5, 0.5, 0.1768, 0.1768, 0.0, 3.0, 8.0, 3.0, 120.0, 40.0, 3.0, 0.3452, 0.2857, 1.208, 0.631, 0.04087, 0.0, 1.0, 150.0, 150.0, 0.0, 52.4, 1.908, 0.4502, 0.5248, 0.5248, 0.4696, 0.4696, 0.1, 1.6, 0.506, 0.4731, 0.2, 3.0, 7.0, 3.0, 150.0, 50.0, 3.0, 0.2843, 0.2353, 1.208, 0.5196, 0.03455, 0.0, 1.0
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\HNK_KNKN_-_Bridge_Battle_Theme.mid",13.0, 6.0, 5.0, 3.0, 26.0, 0.0, 0.0, 1.0, 4.0, 1.0, 89.0, 4.18, 84.0, 0.0, 0.18, 0.27, 0.8889, 1.0, 5.0, 5.0, 6.992, 3.445, 4.484, 0.06007, -0.7141, -1.218, 5.371, 5.246, 5.184, 0.0, 84.0, 0.0, 92.0, 8.0, 2.0, 3.091, 5.0, 2.0, 0.2929, 0.8621, 0.5354, 0.2525, 0.0, 0.2929, 0.1717, 0.1313, 0.0, 0.101, 0.0101, 0.0101, 0.0, 0.0303, 16.0, 0.0, 0.4459, 1.85, 7.55, 3.333, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 5.906, 5.906, 3.37, 3.0, 3.0, 1.0, 0.99, 0.99, 0.01, 0.0, 0.0, 0.01, 0.125, 0.75, 0.1325, 0.125, 0.98, 1.0, 0.0, 0.06361, 0.3537, 98.5, 20.0, 2.0, 29.56, 5.208E-5, 0.0, 5.208E-4, 0.2178, 0.2178, 0.2178, 0.25, 0.25, 0.151, 0.151, 0.125, 0.125, 0.04178, 0.04178, 0.0, 0.0, 30.0, 30.0, 40.0, 120.0, 3.0, 0.04003, 0.03768, 1.062, 0.07771, 0.01092, 1.2, 0.1667, 76.0, 76.0, 4.548E-12, 13.37, 7.481, 0.5509, 0.1299, 0.1299, 0.06348, 0.06348, 0.09457, 0.5921, 0.1046, 0.05023, 0.98, 0.0, 23.0, 23.0, 76.0, 151.0, 1.987, 0.05963, 0.05734, 1.04, 0.117, 0.01443, 0.1304, 0.1304
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\IX-Battle.mid",8.0, 5.0, 2.0, 2.0, 45.0, 0.3, 0.01, 0.69, 2.0, 2.0, 73.0, 5.64, 88.0, 4.0, 0.59, 0.62, 0.3729, 0.4032, 43.0, 5.0, 19.64, 2.241, 1.414, -2.187, 2.196, -0.8485, 4.86, 5.007, 20.43, 0.0, 45.0, 9.0, 88.0, 4.0, 0.0, 2.172, 2.0, 2.0, 0.7879, 0.1154, 0.8081, 0.7879, 0.0303, 0.1212, 0.0, 0.0202, 0.0, 0.0202, 0.0, 0.0, 0.0, 0.05051, 0.0, 0.0, 0.4286, 1.615, 13.08, 1.667, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.666, 1.666, 0.5735, 7.0, 5.0, 2.0, 0.58, 0.93, 0.41, 0.01, 0.0, 0.02, 0.25, 4.0, 0.43, 0.25, 0.58, 0.6034, 1.0, 0.4309, 1.253, 54.61, 10.0, 5.0, 10.6, 0.05825, 0.04167, 0.09605, 0.2776, 0.2776, 0.2776, 0.475, 0.475, 0.2236, 0.2236, 0.2167, 0.2167, 0.06634, 0.06634, 0.0, 5.0, 6.0, 5.0, 120.0, 80.0, 1.5, 0.2055, 0.2009, 1.023, 0.4065, 0.03363, 0.0, 0.6, 160.0, 160.0, 0.0, 22.51, 4.443, 1.227, 0.2213, 0.2213, 0.1831, 0.1831, 0.06875, 1.856, 0.1626, 0.1908, 0.06, 7.0, 9.0, 7.0, 159.0, 107.0, 1.486, 0.1503, 0.147, 1.023, 0.2973, 0.02795, 0.0, 0.2857
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\JGFairybatt.mid",23.0, 10.0, 4.0, 2.0, 35.0, 0.02, 0.24, 0.74, 1.0, 4.0, 75.0, 6.81, 81.0, 8.0, 0.19, 0.23, 0.8421, 1.0, 1.0, 1.0, 7.473, 2.608, 2.675, -1.521, -1.369, 0.6618, 8.061, 6.244, 4.769, 0.0, 50.0, 2.0, 80.0, 8.0, 0.0, 4.465, 5.0, 3.0, 0.2929, 0.4483, 0.6162, 0.2929, 0.1111, 0.1818, 0.1616, 0.09091, 0.0404, 0.0, 0.0202, 0.0202, 0.1212, 0.07071, 4.333, 0.0, 0.5286, 1.944, 11.44, 5.431, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.363, 1.363, 0.4862, 4.0, 5.0, 4.0, 0.31, 0.84, 0.69, 0.0, 0.0, 0.15, 0.125, 1.0, 0.4462, 0.5, 0.53, 0.3019, 1.0, 0.2012, -0.8014, 5.749, 3.448, 2.0, 5.648, 0.02375, 0.0, 0.04314, 0.4035, 0.4035, 0.4035, 2.5, 2.5, 0.6127, 0.6127, 0.5, 0.5, 0.6123, 0.6123, 0.0, 5.0, 10.0, 5.0, 40.0, 120.0, 3.0, 0.1815, 0.1815, 1.0, 0.363, 0.02871, 0.0, 0.6, 100.0, 100.0, 0.0, 44.01, 2.272, 0.4128, 0.4243, 0.4243, 0.3056, 0.3056, 0.105, 0.6, 0.2625, 0.1004, 0.0, 5.0, 11.0, 5.0, 100.0, 50.0, 2.0, 0.1916, 0.1707, 1.122, 0.3624, 0.02917, 0.0, 0.6
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\ff9_412y.mid",26.0, 12.0, 2.0, 1.0, 44.0, 0.18, 0.14, 0.68, 3.0, 2.0, 73.0, 5.64, 51.0, 3.0, 0.17, 0.27, 0.7059, 0.7037, 31.0, 7.0, 12.63, 3.442, 3.235, -1.112, 0.5578, -1.558, 5.5, 4.89, 6.104, 0.0, 58.0, 10.0, 75.0, 3.0, 1.0, 4.576, 6.0, 1.0, 0.2121, 0.9048, 0.3939, 0.1313, 0.2121, 0.404, 0.2222, 0.09091, 0.0, 0.0404, 0.0101, 0.0, 0.0, 0.101, 1.0, 0.0, 0.4884, 2.048, 10.38, 3.907, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.413, 1.413, 0.9595, 8.0, 7.0, 2.0, 0.73, 0.74, 0.24, 0.11, 0.0, 0.01, 0.125, 4.0, 0.595, 0.25, 0.51, 0.4314, 1.0, 0.808, 1.281, 14.11, 4.348, 1.0, 6.678, 0.01375, 0.0, 0.033, 0.141, 0.141, 0.141, 2.021, 2.021, 1.076, 1.076, 0.6875, 0.6875, 0.7923, 0.7923, 0.0, 2.0, 17.0, 11.0, 120.0, 60.0, 2.0, 0.1253, 0.1077, 1.163, 0.233, 0.01925, 0.09091, 0.2727, 134.0, 134.0, 8.896E-12, 31.69, 3.156, 1.63, 0.3094, 0.3094, 0.3809, 0.3809, 0.0653, 1.791, 0.2722, 0.3627, 0.23, 2.0, 17.0, 11.0, 134.0, 67.0, 2.0, 0.12, 0.1032, 1.163, 0.2232, 0.01897, 0.09091, 0.1818
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\JGLOMIrwin.mid",17.0, 7.0, 3.0, 1.0, 53.0, 0.39, 0.57, 0.04, 3.0, 2.0, 55.0, 5.83, 40.0, 4.0, 0.34, 0.48, 0.2941, 0.3125, 27.0, 7.0, 14.52, 3.068, 1.534, -0.7458, 1.789, -0.9973, 4.807, 5.496, 6.274, 0.0, 64.0, 4.0, 28.0, 4.0, 0.0, 5.071, 3.0, 2.0, 0.3737, 0.8649, 0.4242, 0.3737, 0.1212, 0.4444, 0.0404, 0.0101, 0.0, 0.0, 0.0, 0.0, 0.0101, 0.1212, 3.0, 0.03, 0.5645, 1.824, 13.71, 2.551, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 0.3549, 0.3549, 0.5329, 10.0, 7.0, 4.0, 0.33, 0.52, 0.41, 0.27, 0.26, 0.04, 0.25, 12.0, 2.578, 0.25, 0.33, 0.7273, 9.0, 3.473, 1.795, 5.894, 2.041, 1.0, 2.843, 0.13, 0.0, 0.5894, 0.07394, 0.07394, 0.07394, 7.0, 7.0, 1.391, 1.391, 0.5, 0.5, 2.492, 2.492, 0.0, 3.0, 14.0, 10.0, 60.0, 120.0, 2.0, 0.1612, 0.1465, 1.1, 0.3077, 0.02358, 0.0, 0.3, 200.0, 200.0, 0.0, 84.53, 1.183, 1.618, 0.8498, 0.8498, 1.159, 1.159, 0.075, 4.8, 0.7827, 1.104, 0.33, 0.0, 20.0, 17.0, 100.0, 199.0, 1.99, 0.1, 0.09091, 1.1, 0.1909, 0.01769, 0.05882, 0.2353
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\Kaarena.mid",10.0, 8.0, 5.0, 2.0, 13.0, 0.0, 0.0, 1.0, 1.0, 3.0, 81.0, 4.11, 87.0, 3.0, 0.28, 0.46, 0.6429, 0.587, 12.0, 1.0, 5.346, 2.049, 2.662, -0.5668, 1.625, -2.604, 4.4, 9.349, 5.11, 0.0, 75.0, 3.0, 76.0, 4.0, 12.0, 7.99, 5.0, 3.0, 0.404, 0.525, 0.5455, 0.0404, 0.0, 0.1212, 0.09091, 0.1212, 0.0, 0.0, 0.2121, 0.0101, 0.404, 0.0, 0.0, 0.0, 0.4526, 1.118, 9.165, 4.135, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 3.448, 3.448, 0.9818, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.1379, 0.1379, 0.1379, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1049, 0.1038, 1.01, 0.2086, 0.02422, 0.0, 0.3, 154.0, 153.6, 2.595E-11, 11.33, 8.828, 1.894, 0.09664, 0.09664, 5.579E-17, 5.579E-17, 0.09766, 0.09766, 0.09766, 8.369E-17, 1.0, 0.0, 12.0, 12.0, 154.0, 123.0, 1.252, 0.0884, 0.08748, 1.011, 0.1759, 0.02197, 0.0, 0.1667
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\dw2battleX.mid",22.0, 11.0, 3.0, 1.0, 48.0, 0.22, 0.36, 0.42, 3.0, 3.0, 67.0, 5.35, 80.0, 8.0, 0.22, 0.22, 0.6364, 0.7727, 32.0, 8.0, 13.38, 3.471, 3.765, -0.4774, -0.5618, -1.586, 5.639, 4.883, 4.943, 0.0, 84.0, 0.0, 80.0, 8.0, 0.0, 10.69, 2.0, 1.0, 0.2727, 0.8148, 0.4848, 0.2727, 0.2222, 0.2525, 0.1111, 0.0, 0.0, 0.0202, 0.0101, 0.0101, 0.0, 0.3232, 0.375, 0.0, 0.4861, 1.358, 19.81, 2.515, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 1.29, 1.29, 0.6772, 8.0, 4.0, 2.0, 0.71, 0.93, 0.24, 0.07, 0.05, 0.05, 0.25, 6.0, 0.6275, 0.25, 0.71, 0.3099, 1.0, 1.266, 0.8949, 20.56, 2.5, 2.0, 2.063, 0.03, 0.0, 0.1139, 0.1903, 0.1903, 0.1903, 4.0, 4.0, 0.3512, 0.3512, 0.25, 0.25, 0.5793, 0.5793, 0.0, 5.0, 10.0, 10.0, 120.0, 80.0, 1.5, 0.1604, 0.1504, 1.067, 0.3108, 0.02615, 0.0, 0.3, 190.0, 190.0, 9.556E-11, 24.47, 4.086, 2.206, 0.233, 0.233, 0.3925, 0.3925, 0.07895, 2.053, 0.1982, 0.3963, 0.71, 1.0, 16.0, 16.0, 190.0, 127.0, 1.496, 0.1058, 0.09917, 1.067, 0.205, 0.02036, 0.0, 0.125
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\JILost_-_Gameboy_-_Zelda_4_-_Last_Boss.mid",19.0, 9.0, 2.0, 1.0, 49.0, 0.72, 0.11, 0.17, 2.0, 2.0, 52.0, 2.48, 36.0, 0.0, 0.29, 0.55, 0.7241, 0.2364, 12.0, 1.0, 15.87, 3.549, 3.997, 0.8318, 2.096, 2.402, 5.655, 5.806, 5.086, 0.0, 80.0, 8.0, 36.0, 0.0, 12.0, 15.56, 3.0, 11.0, 0.2626, 0.4231, 0.3838, 0.06061, 0.1111, 0.1313, 0.0101, 0.0, 0.0303, 0.0404, 0.0, 0.0, 0.2626, 0.4646, 0.0, 0.0, 0.5376, 1.329, 21.83, 5.319, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.809, 2.809, 0.8422, 8.0, 5.0, 2.0, 0.95, 0.97, 0.04, 0.03, 0.0, 0.0, 0.125, 4.0, 0.2675, 0.125, 0.48, 1.0, 0.0, 0.4609, 0.1139, 53.54, 1.515, 1.0, 1.304, 0.02083, 0.02083, 2.441E-17, 0.3072, 0.3072, 0.3072, 3.146, 3.146, 0.2097, 0.2097, 0.1458, 0.1458, 0.4376, 0.4376, 0.0, 4.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1194, 0.1122, 1.064, 0.2317, 0.02433, 0.0, 0.3, 115.0, 115.0, 1.234E-11, 18.58, 5.383, 2.284, 0.1849, 0.1849, 0.2796, 0.2796, 0.05435, 2.076, 0.1287, 0.2405, 0.48, 8.0, 9.0, 9.0, 153.0, 115.0, 1.33, 0.1311, 0.1232, 1.064, 0.2543, 0.02572, 0.0, 0.2222
"D:\AlphaProject\_PythonML\pythonProject\melodies\battle\johto-gym-leader-battle.mid",21.0, 11.0, 4.0, 1.0, 32.0, 0.15, 0.36, 0.49, 2.0, 3.0, 69.0, 5.15, 78.0, 5.0, 0.13, 0.25, 0.7692, 0.76, 25.0, 3.0, 9.958, 2.801, 3.842, -0.8706, 0.1607, -0.9603, 5.166, 5.44, 4.725, 0.0, 78.0, 6.0, 77.0, 5.0, 1.0, 8.838, 2.0, 3.0, 0.1818, 0.7222, 0.404, 0.06061, 0.1818, 0.2121, 0.1717, 0.0202, 0.06061, 0.0, 0.0202, 0.06061, 0.05051, 0.3434, 0.3077, 0.0, 0.5054, 1.476, 13.78, 5.253, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.151, 2.151, 0.9345, 5.0, 4.0, 2.0, 0.34, 0.95, 0.66, 0.02, 0.0, 0.0, 0.25, 2.0, 0.46, 0.5, 0.61, 0.5574, 1.0, 0.27, -0.4445, 26.47, 7.692, 2.0, 12.81, 0.0, 0.0, 0.0, 0.01075, 0.01075, 0.01075, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 120.0, 80.0, 1.5, 0.1541, 0.1489, 1.035, 0.303, 0.02694, 0.0, 0.3, 200.0, 200.0, 0.0, 13.95, 7.168, 2.129, 0.1388, 0.1388, 0.083, 0.083, 0.075, 0.6, 0.138, 0.08099, 0.34, 0.0, 17.0, 14.0, 200.0, 134.0, 1.493, 0.09244, 0.08929, 1.035, 0.1817, 0.02037, 0.0, 0.2143
